QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,Destination,Carrier_index,Origin,ARR_DELAY,class,class2
2,5,25,4,6,27,1715,2304,229.0,1535.0,258,18,206,99.0,5,3
1,3,9,4,6,6,1050,1230,100.0,337.0,206,20,338,14.0,2,2
2,4,20,4,41,8,535,907,152.0,898.0,96,18,313,-23.0,0,1
2,6,29,4,13,1,1515,1519,64.0,147.0,239,18,22,191.0,5,3
1,2,7,2,36,36,1706,1832,86.0,264.0,321,3,196,-24.0,0,1
1,2,12,7,36,24,1135,1250,75.0,289.0,57,23,14,19.0,2,2
2,6,30,5,17,34,1832,2200,148.0,719.0,121,1,274,103.0,5,3
4,10,18,3,36,25,956,1108,72.0,187.0,45,3,196,-6.0,0,1
3,9,29,5,46,27,1310,1420,70.0,257.0,258,18,3,17.0,2,2
3,7,12,3,36,49,1545,1925,340.0,1990.0,348,6,196,-11.0,0,1
4,12,1,5,31,32,1420,1520,180.0,1099.0,204,23,271,-16.0,0,1
1,3,1,3,48,13,700,1005,125.0,731.0,22,6,97,-16.0,0,1
1,2,10,5,47,17,635,810,95.0,395.0,234,23,43,-2.0,1,1
2,4,8,6,17,6,1330,1603,273.0,1744.0,206,1,274,17.0,2,2
4,12,13,3,25,37,936,1215,159.0,728.0,76,1,45,-5.0,1,1
1,2,2,4,16,8,715,906,111.0,458.0,96,18,178,-1.0,1,1
4,12,31,7,17,27,1015,1142,87.0,334.0,258,1,274,5.0,1,1
2,4,21,5,22,29,1255,1440,105.0,604.0,360,23,259,-4.0,1,1
1,3,17,5,15,15,1431,1511,40.0,100.0,268,11,164,-2.0,1,1
4,12,27,3,13,48,1126,1255,149.0,731.0,97,6,22,-1.0,1,1
2,6,28,3,51,17,800,920,140.0,717.0,274,18,275,-2.0,1,1
2,4,18,2,6,32,2215,2320,65.0,258.0,204,23,326,4.0,1,1
2,4,27,4,17,27,1225,1405,100.0,397.0,101,18,274,-21.0,0,1
3,8,23,3,6,48,1600,2125,205.0,1476.0,92,23,338,135.0,5,3
2,5,6,6,12,17,1259,1510,191.0,1120.0,274,20,324,-11.0,0,1
4,12,6,3,48,48,1445,1534,49.0,74.0,75,7,176,1.0,1,1
